21:24:15:INFO:Mon, 28 Feb 2022 21:24:15 
21:24:55:INFO:Mon, 28 Feb 2022 21:24:55 
21:25:26:INFO:Hovor od pouzivatela: mobil@192.168.0.164, komu: mackbook@192.168.0.164 || Call ID: Kx5MxCfLUo
21:25:26:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:27:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:28:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:29:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:31:INFO:Hovor od pouzivatela: mobil@192.168.0.164, komu: mackbook@192.168.0.164 || Call ID: Kx5MxCfLUo
21:25:31:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:31:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:34:INFO:Hovor od pouzivatela: mackbook@192.168.0.164, komu: mobil@192.168.0.164 || Call ID: Kx5MxCfLUo
21:25:34:INFO:Pouzivatel mobil@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:35:INFO:Pouzivatel mobil@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:37:INFO:Hovor od pouzivatela: mobil@192.168.0.164, komu: mackbook@192.168.0.164 || Call ID: Kx5MxCfLUo
21:25:37:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:37:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:37:INFO:Pouzivatel mackbook@192.168.0.164 zodvihol hovor || Call ID: Kx5MxCfLUo
21:25:41:INFO:Pouzivatel mackbook@192.168.0.164 ukoncil hovor. || Call ID: Kx5MxCfLUo
